id,organization_id,user_id,name,folder,filename,path,extension,disk,created_at,updated_at
44,,,Home-Mountain-West-Veterinary-Specialists,screenshots,ZDJwgfAhrdzabU0Tpqg234Wa8khDcgerxwwXCujZ.png,screenshots/ZDJwgfAhrdzabU0Tpqg234Wa8khDcgerxwwXCujZ.png,png,r2,2024-05-03 21:40:38,2024-05-11 20:15:24
45,,,no-website,screenshots,vVgVFAVtzyMQaYxlWBf1RcN0CwmEBi9Dv38Vt17h.png,screenshots/vVgVFAVtzyMQaYxlWBf1RcN0CwmEBi9Dv38Vt17h.png,png,r2,2024-05-03 21:40:39,2024-05-11 20:15:44
46,,,TooeleVetClinic.com,screenshots,TooeleVetClinic.com,screenshots/TooeleVetClinic.com,png,r2,2024-05-03 21:40:41,2024-05-03 21:40:41
47,,,utahhumane.org,screenshots,utahhumane.org,screenshots/utahhumane.org,png,r2,2024-05-03 21:40:43,2024-05-03 21:40:43
48,,,vcahospitals.com,screenshots,vcahospitals.com,screenshots/vcahospitals.com,png,r2,2024-05-03 21:40:45,2024-05-03 21:40:45
49,,,www.healthypetsmw.com,screenshots,www.healthypetsmw.com,screenshots/www.healthypetsmw.com,png,r2,2024-05-03 21:40:47,2024-05-03 21:40:47
50,,,www.thrivepetcare.com,screenshots,www.thrivepetcare.com,screenshots/www.thrivepetcare.com,png,r2,2024-05-03 21:40:49,2024-05-03 21:40:49
51,,,www.copperviewanimalhospital.com,screenshots,www.copperviewanimalhospital.com,screenshots/www.copperviewanimalhospital.com,png,r2,2024-05-03 21:40:51,2024-05-03 21:40:51
52,,,www.bayviewanimalhospital.net,screenshots,www.bayviewanimalhospital.net,screenshots/www.bayviewanimalhospital.net,png,r2,2024-05-03 21:40:53,2024-05-03 21:40:53
53,,,www.bayviewanimalhospital.net,screenshots,www.bayviewanimalhospital.net,screenshots/www.bayviewanimalhospital.net,png,r2,2024-05-03 21:40:55,2024-05-03 21:40:55
54,,,vetiqpetcare.com,screenshots,vetiqpetcare.com,screenshots/vetiqpetcare.com,png,r2,2024-05-03 21:40:56,2024-05-03 21:40:56
55,,,heartsongspayneuter.com,screenshots,heartsongspayneuter.com,screenshots/heartsongspayneuter.com,png,r2,2024-05-03 21:40:57,2024-05-03 21:40:57
56,,,www.westvalleyvetclinic.com,screenshots,www.westvalleyvetclinic.com,screenshots/www.westvalleyvetclinic.com,png,r2,2024-05-03 21:40:59,2024-05-03 21:40:59
57,,,www.banfield.com,screenshots,www.banfield.com,screenshots/www.banfield.com,png,r2,2024-05-03 21:41:01,2024-05-03 21:41:01
